Time,Tair_mean,Tfuel_mean,rhoAir_mean,rhoFuel_mean,nuAir_mean,nuFuel_mean,kAir_mean,kFuel_mean,Nern_max,ibar,Energy_t_mean,mean_curr,V
88,1090.833,1093.014,0.3208325,0.03611109,0.000142025,0.000834068,0.07531544,0.3184655,1.061163,4997.016,1092.426,5211.373,0.8794847
89,1090.806,1092.986,0.3208411,0.03610928,0.000142019,0.000834061,0.07531399,0.3184743,1.061177,4995.806,1092.403,5210.065,0.8794428
90,1090.783,1092.963,0.3208483,0.03610768,0.000142015,0.000834056,0.07531278,0.3184822,1.061188,4994.888,1092.385,5209.02,0.8793916
91,1090.766,1092.945,0.3208538,0.03610632,0.000142011,0.000834054,0.07531185,0.318489,1.061196,4994.26,1092.372,5208.244,0.8793343
92,1090.753,1092.932,0.3208579,0.03610524,0.000142008,0.000834053,0.07531117,0.3184945,1.061203,4993.914,1092.365,5207.736,0.8792734
93,1090.745,1092.924,0.3208603,0.03610442,0.000142007,0.000834055,0.07531077,0.3184987,1.061206,4993.827,1092.361,5207.482,0.8792117
94,1090.742,1092.921,0.3208614,0.03610387,0.000142006,0.000834058,0.0753106,0.3185017,1.061208,4993.975,1092.363,5207.463,0.8791514
95,1090.743,1092.922,0.320861,0.03610358,0.000142006,0.000834063,0.07531067,0.3185035,1.061206,4994.323,1092.367,5207.652,0.8790946
96,1090.747,1092.926,0.3208596,0.03610353,0.000142007,0.000834068,0.07531091,0.318504,1.061204,4994.835,1092.375,5208.016,0.879043
97,1090.755,1092.934,0.3208572,0.03610367,0.000142009,0.000834074,0.07531133,0.3185037,1.061199,4995.475,1092.385,5208.524,0.8789977
98,1090.765,1092.944,0.3208541,0.03610399,0.000142011,0.000834081,0.07531186,0.3185024,1.061193,4996.202,1092.397,5209.14,0.8789598
99,1090.777,1092.956,0.3208504,0.03610446,0.000142013,0.000834087,0.07531249,0.3185004,1.061187,4996.981,1092.41,5209.827,0.8789296
100,1090.789,1092.969,0.3208465,0.03610504,0.000142016,0.000834094,0.07531316,0.3184978,1.06118,4997.777,1092.423,5210.553,0.8789073
101,1090.803,1092.982,0.3208423,0.03610568,0.000142019,0.0008341,0.07531387,0.3184949,1.061172,4998.559,1092.436,5211.286,0.8788929
102,1090.816,1092.996,0.3208382,0.03610636,0.000142022,0.000834105,0.07531456,0.3184917,1.061165,4999.299,1092.449,5211.999,0.8788859
103,1090.828,1093.008,0.3208343,0.03610705,0.000142024,0.00083411,0.07531523,0.3184884,1.061158,4999.975,1092.461,5212.668,0.8788857
104,1090.839,1093.02,0.3208307,0.03610771,0.000142027,0.000834114,0.07531582,0.3184852,1.061151,5000.57,1092.471,5213.274,0.8788914
105,1090.85,1093.03,0.3208275,0.03610833,0.000142029,0.000834117,0.07531637,0.3184822,1.061146,5001.073,1092.48,5213.801,0.8789021
106,1090.858,1093.039,0.3208248,0.03610889,0.000142031,0.000834119,0.07531681,0.3184794,1.061141,5001.473,1092.487,5214.239,0.8789168
