Time,Tair_min,Tair_mean,Tair_max,Tfuel_min,Tfuel_mean,Tfuel_max,rhoAir_min,rhoAir_mean,rhoAir_max,rhoFuel_min,rhoFuel_mean,rhoFuel_max,muAir_min,muAir_mean,muAir_max,muFuel_min,muFuel_mean,muFuel_max,nuAir_min,nuAir_mean,nuAir_max,nuFuel_min,nuFuel_mean,nuFuel_max,kAir_min,kAir_mean,kAir_max,kFuel_min,kFuel_mean,kFuel_max,sumVolume,Nern_min,Nern_max,ibar0,ibar,stack_Voltage,min_curr,max_curr,Energy_Ir,Energy_Fr,Energy_t_min,Energy_t_mean,Energy_t_max,mean_curr,V
22,1001.759,1088.239,1094.468,1029.307,1090.339,1094.466,0.3152111,0.3216272,0.3510245,0.02791831,0.03615079,0.04716507,4.34E-05,4.55E-05,4.59E-05,2.49E-05,2.97E-05,3.32E-05,0.000123502,0.000141467,0.000142842,0.00070448,0.000830874,0.000935817,0.07045534,0.07517402,0.0756061,0.2556243,0.3181078,0.3841609,3.87E-09,1.007199,1.063052,5000,4745.236,0.9039032,4077.082,5950.483,0.006649888,5.28E-11,1001.729,1088.368,1092.961,5026.271,0.9039032
23,1001.729,1086.834,1092.958,1028.827,1088.902,1092.956,0.3157769,0.3220749,0.3510349,0.02795543,0.03609453,0.04742641,4.34E-05,4.55E-05,4.58E-05,2.49E-05,2.96E-05,3.32E-05,0.000123496,0.000141169,0.000142519,0.00070062,0.00083008,0.000933539,0.07045363,0.07509942,0.07552359,0.2545265,0.3183736,0.3837579,3.87E-09,1.009321,1.063697,5000,4686.624,0.9007694,4028.467,5871.198,0.005419501,7.73E-11,1001.707,1087.275,1091.803,4960.81,0.9007694
24,1001.707,1085.758,1091.8,1028.459,1087.803,1091.798,0.316213,0.3224191,0.3510426,0.02798377,0.03598482,0.04684547,4.34E-05,4.54E-05,4.58E-05,2.49E-05,2.96E-05,3.31E-05,0.000123491,0.000140942,0.000142272,0.000705655,0.000830248,0.000931803,0.07045235,0.07504242,0.07546044,0.2568094,0.3189315,0.3834505,3.87E-09,1.01087,1.064213,5000,4645.868,0.8972281,3997.425,5807.109,0.004231176,7.76E-11,1001.69,1086.489,1090.964,4911.248,0.8972281
25,1001.69,1084.983,1090.961,1028.195,1087.012,1090.96,0.3165305,0.322668,0.3510484,0.02800423,0.03589418,0.04643217,4.34E-05,4.54E-05,4.58E-05,2.49E-05,2.95E-05,3.29E-05,0.000123488,0.000140779,0.000142093,0.000709283,0.000830508,0.00093055,0.07045139,0.07500152,0.07541472,0.2584527,0.3194062,0.3832287,3.87E-09,1.011312,1.0646,5000,4623.028,0.8934584,3984.15,5759.469,0.003469394,9.29E-11,1001.681,1086.002,1090.438,4878.011,0.8934584
26,1001.681,1084.504,1090.436,1028.032,1086.522,1090.434,0.3167296,0.3228235,0.3510517,0.02801696,0.03584968,0.04642522,4.33E-05,4.54E-05,4.58E-05,2.49E-05,2.95E-05,3.29E-05,0.000123486,0.000140679,0.000141981,0.000708945,0.000830535,0.00092977,0.07045084,0.07497634,0.07538614,0.2584565,0.3196452,0.383091,3.87E-09,1.011772,1.064814,5000,4616.322,0.8896216,3986.222,5728.618,0.002743549,7.82E-11,1001.677,1085.81,1090.223,4861.135,0.8896216
27,1001.677,1084.314,1090.221,1027.968,1086.328,1090.219,0.3168147,0.3228868,0.3510531,0.02802198,0.03581419,0.04633011,4.33E-05,4.54E-05,4.58E-05,2.48E-05,2.94E-05,3.29E-05,0.000123485,0.00014064,0.000141936,0.000709758,0.000830756,0.000929459,0.07045061,0.07496662,0.07537455,0.2588479,0.3198437,0.3830367,3.87E-09,1.012158,1.064878,5000,4623.925,0.8858608,4001.41,5713.351,0.002043397,5.55E-11,1001.678,1085.88,1090.284,4858.804,0.8858608
28,1001.678,1084.383,1090.281,1027.992,1086.399,1090.28,0.316796,0.3228677,0.3510526,0.02802013,0.0357873,0.04618988,4.33E-05,4.54E-05,4.58E-05,2.48E-05,2.94E-05,3.29E-05,0.000123486,0.000140655,0.000141949,0.000711267,0.000831147,0.000929565,0.0704507,0.0749707,0.07537809,0.2594383,0.3200031,0.3830567,3.87E-09,1.01208,1.06482,5000,4644.151,0.8823023,4028.009,5712.401,0.001860088,9.59E-11,1001.684,1086.178,1090.583,4869.226,0.8823023
29,1001.684,1084.675,1090.581,1028.092,1086.699,1090.579,0.3166888,0.3227775,0.3510506,0.02801238,0.03578176,0.04618585,4.34E-05,4.54E-05,4.58E-05,2.49E-05,2.94E-05,3.29E-05,0.000123487,0.000140718,0.000142014,0.000711548,0.00083152,0.00093003,0.07045104,0.07498668,0.07539469,0.2594724,0.3200524,0.3831407,3.87E-09,1.011744,1.064645,5000,4674.823,0.8790506,4063.742,5724.388,0.002674727,9.74E-11,1001.695,1086.669,1091.087,4890.796,0.8790506
30,1001.695,1085.157,1091.084,1028.258,1087.192,1091.083,0.3165052,0.3226268,0.3510469,0.02799959,0.03579134,0.04623684,4.34E-05,4.54E-05,4.58E-05,2.49E-05,2.95E-05,3.29E-05,0.000123489,0.000140821,0.000142122,0.000711414,0.000831913,0.000930803,0.07045164,0.07501277,0.07542245,0.2592889,0.3200239,0.3832793,3.87E-09,1.01131,1.064369,5000,4713.561,0.8761862,4106.101,5747.43,0.00330704,5.69E-11,1001.708,1087.315,1091.754,4921.456,0.8761862
31,1001.708,1085.792,1091.752,1028.475,1087.842,1091.75,0.3162608,0.3224276,0.3510423,0.02798277,0.03580985,0.04628222,4.34E-05,4.54E-05,4.58E-05,2.49E-05,2.95E-05,3.29E-05,0.000123492,0.000140956,0.000142265,0.000711468,0.00083236,0.000931823,0.07045239,0.07504696,0.07545916,0.2591363,0.3199501,0.3834618,3.87E-09,1.01071,1.064016,5000,4758.105,0.8737672,4152.853,5779.437,0.003725325,5.77E-11,1001.724,1088.074,1092.542,4958.976,0.8737672
