Time,Tair_min,Tair_mean,Tair_max,Tfuel_min,Tfuel_mean,Tfuel_max,rhoAir_min,rhoAir_mean,rhoAir_max,rhoFuel_min,rhoFuel_mean,rhoFuel_max,muAir_min,muAir_mean,muAir_max,muFuel_min,muFuel_mean,muFuel_max,nuAir_min,nuAir_mean,nuAir_max,nuFuel_min,nuFuel_mean,nuFuel_max,kAir_min,kAir_mean,kAir_max,kFuel_min,kFuel_mean,kFuel_max,sumVolume,Nern_min,Nern_max,ibar0,ibar,stack_Voltage,min_curr,max_curr,Energy_Ir,Energy_Fr,Energy_t_min,Energy_t_mean,Energy_t_max,mean_curr,V
1029,1001.83,1090.802,1097.09,1030.257,1092.956,1097.089,0.3142712,0.3208408,0.3509991,0.02785067,0.03610154,0.0469535,4.34E-05,4.56E-05,4.59E-05,2.49E-05,2.98E-05,3.33E-05,0.000123517,0.000142018,0.000143406,0.000708681,0.00083412,0.000939923,0.07045937,0.07531375,0.07575059,0.2566447,0.3185119,0.3848996,3.87E-09,1.006339,1.061116,5000,4999.998,0.8789312,4359.532,6090.992,0.000411854,7.86E-11,1001.829,1092.406,1097.093,5213.149,0.8789312
1030,1001.829,1090.801,1097.09,1030.257,1092.956,1097.089,0.314271,0.3208408,0.3509993,0.02785067,0.03610154,0.04695349,4.34E-05,4.56E-05,4.59E-05,2.49E-05,2.98E-05,3.33E-05,0.000123517,0.000142018,0.000143406,0.000708681,0.00083412,0.000939923,0.07045934,0.07531374,0.07575059,0.2566447,0.318512,0.3848996,3.87E-09,1.006339,1.061116,5000,4999.998,0.8789312,4359.532,6090.99,0.000462685,4.45E-11,1001.83,1092.406,1097.093,5213.15,0.8789312
1031,1001.83,1090.802,1097.09,1030.257,1092.956,1097.089,0.3142713,0.3208408,0.350999,0.02785067,0.03610153,0.04695349,4.34E-05,4.56E-05,4.59E-05,2.49E-05,2.98E-05,3.33E-05,0.000123517,0.000142018,0.000143406,0.000708681,0.00083412,0.000939923,0.07045938,0.07531375,0.07575059,0.2566447,0.318512,0.3848996,3.87E-09,1.006339,1.061116,5000,4999.998,0.8789311,4359.532,6090.993,0.000456448,6.96E-11,1001.83,1092.406,1097.093,5213.15,0.8789311
1032,1001.83,1090.801,1097.09,1030.257,1092.956,1097.089,0.314271,0.3208408,0.3509991,0.02785067,0.03610153,0.04695349,4.34E-05,4.56E-05,4.59E-05,2.49E-05,2.98E-05,3.33E-05,0.000123517,0.000142018,0.000143406,0.000708681,0.00083412,0.000939923,0.07045937,0.07531374,0.07575059,0.2566447,0.318512,0.3848996,3.87E-09,1.006339,1.061116,5000,5000,0.8789311,4359.533,6090.992,0.000433112,4.88E-11,1001.83,1092.406,1097.093,5213.151,0.8789311
1033,1001.83,1090.802,1097.091,1030.257,1092.956,1097.089,0.3142712,0.3208408,0.3509991,0.02785067,0.03610153,0.0469535,4.34E-05,4.56E-05,4.59E-05,2.49E-05,2.98E-05,3.33E-05,0.000123517,0.000142018,0.000143406,0.000708681,0.00083412,0.000939923,0.07045937,0.07531375,0.0757506,0.2566447,0.318512,0.3848996,3.87E-09,1.006339,1.061116,5000,4999.999,0.8789311,4359.533,6090.992,0.000431696,8.39E-11,1001.83,1092.406,1097.093,5213.15,0.8789311
1034,1001.83,1090.801,1097.09,1030.257,1092.956,1097.089,0.314271,0.3208408,0.3509992,0.02785066,0.03610153,0.0469535,4.34E-05,4.56E-05,4.59E-05,2.49E-05,2.98E-05,3.33E-05,0.000123517,0.000142018,0.000143406,0.000708681,0.00083412,0.000939923,0.07045935,0.07531374,0.07575059,0.2566446,0.318512,0.3848997,3.87E-09,1.006339,1.061116,5000,5000,0.8789311,4359.533,6090.993,0.00044564,5.85E-11,1001.83,1092.406,1097.093,5213.151,0.8789311
1035,1001.83,1090.802,1097.091,1030.257,1092.956,1097.089,0.3142712,0.3208408,0.3509991,0.02785067,0.03610154,0.04695351,4.34E-05,4.56E-05,4.59E-05,2.49E-05,2.98E-05,3.33E-05,0.000123517,0.000142018,0.000143406,0.000708681,0.00083412,0.000939923,0.07045937,0.07531375,0.0757506,0.2566446,0.318512,0.3848997,3.87E-09,1.006339,1.061116,5000,5000,0.8789311,4359.533,6090.991,0.000477758,8.07E-11,1001.83,1092.406,1097.093,5213.151,0.8789311
1036,1001.83,1090.801,1097.09,1030.257,1092.956,1097.089,0.3142709,0.3208408,0.3509991,0.02785067,0.03610154,0.0469535,4.34E-05,4.56E-05,4.59E-05,2.49E-05,2.98E-05,3.33E-05,0.000123517,0.000142018,0.000143406,0.000708681,0.00083412,0.000939923,0.07045937,0.07531374,0.07575059,0.2566447,0.318512,0.3848997,3.87E-09,1.006339,1.061117,5000,5000,0.8789311,4359.533,6090.994,0.000453091,5.12E-11,1001.83,1092.406,1097.093,5213.151,0.8789311
1037,1001.83,1090.802,1097.091,1030.257,1092.956,1097.089,0.3142713,0.3208408,0.3509991,0.02785067,0.03610154,0.04695349,4.34E-05,4.56E-05,4.59E-05,2.49E-05,2.98E-05,3.33E-05,0.000123517,0.000142018,0.000143406,0.000708681,0.00083412,0.000939923,0.07045936,0.07531375,0.0757506,0.2566447,0.318512,0.3848997,3.87E-09,1.006339,1.061116,5000,5000,0.8789311,4359.533,6090.993,0.000409071,1.60E-11,1001.83,1092.406,1097.093,5213.151,0.8789311
1038,1001.83,1090.801,1097.09,1030.257,1092.956,1097.089,0.314271,0.3208408,0.3509992,0.02785067,0.03610154,0.04695349,4.34E-05,4.56E-05,4.59E-05,2.49E-05,2.98E-05,3.33E-05,0.000123517,0.000142018,0.000143406,0.000708681,0.00083412,0.000939923,0.07045935,0.07531374,0.07575059,0.2566447,0.318512,0.3848996,3.87E-09,1.006339,1.061116,5000,5000,0.8789311,4359.532,6090.992,0.000416043,4.83E-11,1001.83,1092.406,1097.093,5213.151,0.8789311
1039,1001.83,1090.801,1097.09,1030.257,1092.956,1097.089,0.3142713,0.3208408,0.3509991,0.02785067,0.03610153,0.04695348,4.34E-05,4.56E-05,4.59E-05,2.49E-05,2.98E-05,3.33E-05,0.000123517,0.000142018,0.000143406,0.000708681,0.00083412,0.000939923,0.07045937,0.07531374,0.0757506,0.2566447,0.318512,0.3848996,3.87E-09,1.006339,1.061116,5000,4999.999,0.8789311,4359.533,6090.993,0.000456502,5.03E-11,1001.83,1092.406,1097.093,5213.15,0.8789311
1040,1001.83,1090.801,1097.09,1030.257,1092.956,1097.089,0.3142711,0.3208409,0.3509991,0.02785067,0.03610153,0.04695348,4.34E-05,4.56E-05,4.59E-05,2.49E-05,2.98E-05,3.33E-05,0.000123517,0.000142018,0.000143406,0.000708681,0.00083412,0.000939923,0.07045937,0.07531374,0.07575059,0.2566447,0.318512,0.3848996,3.87E-09,1.006339,1.061116,5000,4999.999,0.8789311,4359.532,6090.992,0.000486067,8.76E-11,1001.83,1092.406,1097.093,5213.15,0.8789311
1041,1001.83,1090.802,1097.09,1030.257,1092.956,1097.089,0.3142712,0.3208408,0.3509991,0.02785067,0.03610153,0.04695348,4.34E-05,4.56E-05,4.59E-05,2.49E-05,2.98E-05,3.33E-05,0.000123517,0.000142018,0.000143406,0.000708681,0.00083412,0.000939923,0.07045937,0.07531375,0.07575059,0.2566447,0.318512,0.3848996,3.87E-09,1.006339,1.061116,5000,4999.999,0.8789311,4359.533,6090.994,0.000446874,9.86E-11,1001.83,1092.406,1097.093,5213.15,0.8789311
1042,1001.83,1090.801,1097.09,1030.257,1092.956,1097.089,0.314271,0.3208408,0.3509992,0.02785067,0.03610153,0.04695349,4.34E-05,4.56E-05,4.59E-05,2.49E-05,2.98E-05,3.33E-05,0.000123517,0.000142018,0.000143406,0.000708681,0.00083412,0.000939923,0.07045936,0.07531374,0.07575059,0.2566447,0.318512,0.3848996,3.87E-09,1.006339,1.061116,5000,4999.999,0.8789311,4359.533,6090.995,0.000414674,6.82E-11,1001.83,1092.406,1097.093,5213.151,0.8789311
1043,1001.83,1090.802,1097.09,1030.257,1092.956,1097.089,0.3142713,0.3208408,0.3509991,0.02785067,0.03610153,0.04695349,4.34E-05,4.56E-05,4.59E-05,2.49E-05,2.98E-05,3.33E-05,0.000123517,0.000142018,0.000143406,0.000708681,0.00083412,0.000939923,0.07045937,0.07531375,0.0757506,0.2566447,0.318512,0.3848996,3.87E-09,1.006339,1.061116,5000,4999.999,0.8789311,4359.533,6090.997,0.000466867,9.41E-11,1001.83,1092.406,1097.093,5213.151,0.8789311
1044,1001.83,1090.801,1097.09,1030.257,1092.956,1097.089,0.3142711,0.3208409,0.3509991,0.02785067,0.03610153,0.04695347,4.34E-05,4.56E-05,4.59E-05,2.49E-05,2.98E-05,3.33E-05,0.000123517,0.000142018,0.000143406,0.000708681,0.00083412,0.000939923,0.07045937,0.07531374,0.07575059,0.2566448,0.318512,0.3848996,3.87E-09,1.006339,1.061117,5000,4999.999,0.8789311,4359.532,6090.994,0.000457558,4.87E-11,1001.83,1092.406,1097.093,5213.151,0.8789311
1045,1001.83,1090.802,1097.091,1030.257,1092.956,1097.089,0.3142713,0.3208408,0.3509991,0.02785067,0.03610153,0.04695347,4.34E-05,4.56E-05,4.59E-05,2.49E-05,2.98E-05,3.33E-05,0.000123517,0.000142018,0.000143406,0.000708681,0.00083412,0.000939923,0.07045937,0.07531375,0.0757506,0.2566448,0.318512,0.3848997,3.87E-09,1.006339,1.061116,5000,5000,0.8789311,4359.533,6090.996,0.00042652,6.25E-11,1001.83,1092.406,1097.093,5213.151,0.8789311
1046,1001.83,1090.801,1097.09,1030.257,1092.956,1097.089,0.314271,0.3208409,0.3509992,0.02785067,0.03610154,0.04695348,4.34E-05,4.56E-05,4.59E-05,2.49E-05,2.98E-05,3.33E-05,0.000123517,0.000142018,0.000143406,0.000708681,0.00083412,0.000939923,0.07045935,0.07531374,0.07575059,0.2566447,0.318512,0.3848996,3.87E-09,1.006339,1.061116,5000,5000,0.8789311,4359.533,6090.995,0.000450713,5.03E-11,1001.83,1092.406,1097.093,5213.151,0.8789311
1047,1001.83,1090.802,1097.091,1030.257,1092.956,1097.089,0.3142712,0.3208408,0.3509991,0.02785067,0.03610154,0.04695348,4.34E-05,4.56E-05,4.59E-05,2.49E-05,2.98E-05,3.33E-05,0.000123517,0.000142018,0.000143406,0.000708681,0.00083412,0.000939923,0.07045937,0.07531375,0.0757506,0.2566447,0.318512,0.3848996,3.87E-09,1.006339,1.061116,5000,5000,0.8789311,4359.534,6090.994,0.00048305,4.06E-11,1001.83,1092.406,1097.093,5213.151,0.8789311
1048,1001.83,1090.801,1097.09,1030.257,1092.956,1097.089,0.314271,0.3208409,0.3509991,0.02785068,0.03610154,0.04695347,4.34E-05,4.56E-05,4.59E-05,2.49E-05,2.98E-05,3.33E-05,0.000123517,0.000142018,0.000143406,0.000708681,0.00083412,0.000939923,0.07045936,0.07531374,0.07575059,0.2566448,0.318512,0.3848996,3.87E-09,1.006339,1.061116,5000,5000,0.8789311,4359.533,6090.995,0.000458446,5.83E-11,1001.83,1092.406,1097.093,5213.151,0.8789311
1049,1001.83,1090.802,1097.091,1030.257,1092.956,1097.089,0.3142713,0.3208408,0.3509991,0.02785067,0.03610153,0.04695347,4.34E-05,4.56E-05,4.59E-05,2.49E-05,2.98E-05,3.33E-05,0.000123517,0.000142018,0.000143406,0.000708681,0.00083412,0.000939923,0.07045936,0.07531375,0.0757506,0.2566448,0.318512,0.3848996,3.87E-09,1.006339,1.061116,5000,5000,0.8789311,4359.533,6090.996,0.000393586,5.38E-11,1001.829,1092.406,1097.093,5213.151,0.8789311
1050,1001.829,1090.801,1097.09,1030.257,1092.956,1097.089,0.3142711,0.3208409,0.3509993,0.02785068,0.03610154,0.04695348,4.34E-05,4.56E-05,4.59E-05,2.49E-05,2.98E-05,3.33E-05,0.000123517,0.000142018,0.000143406,0.000708681,0.00083412,0.000939923,0.07045935,0.07531374,0.07575059,0.2566447,0.318512,0.3848996,3.87E-09,1.006339,1.061116,5000,5000,0.8789311,4359.532,6090.995,0.000405265,3.12E-11,1001.83,1092.406,1097.093,5213.151,0.8789311
1051,1001.83,1090.801,1097.09,1030.257,1092.956,1097.089,0.3142713,0.3208409,0.3509991,0.02785067,0.03610154,0.04695348,4.34E-05,4.56E-05,4.59E-05,2.49E-05,2.98E-05,3.33E-05,0.000123517,0.000142018,0.000143406,0.000708681,0.00083412,0.000939923,0.07045937,0.07531374,0.07575059,0.2566448,0.318512,0.3848996,3.87E-09,1.006339,1.061116,5000,4999.999,0.8789311,4359.533,6090.992,0.000429526,6.40E-11,1001.83,1092.406,1097.093,5213.15,0.8789311
1052,1001.83,1090.801,1097.09,1030.257,1092.956,1097.089,0.3142711,0.3208409,0.3509992,0.02785068,0.03610154,0.04695348,4.34E-05,4.56E-05,4.59E-05,2.49E-05,2.98E-05,3.33E-05,0.000123517,0.000142018,0.000143406,0.000708681,0.00083412,0.000939922,0.07045935,0.07531373,0.07575059,0.2566447,0.3185119,0.3848996,3.87E-09,1.006339,1.061116,5000,4999.999,0.878931,4359.532,6090.994,0.000444076,4.89E-11,1001.83,1092.406,1097.093,5213.15,0.878931
1053,1001.83,1090.801,1097.09,1030.257,1092.956,1097.089,0.3142713,0.3208409,0.3509991,0.02785068,0.03610154,0.04695347,4.34E-05,4.56E-05,4.59E-05,2.49E-05,2.98E-05,3.33E-05,0.000123517,0.000142018,0.000143406,0.000708681,0.00083412,0.000939923,0.07045937,0.07531374,0.07575059,0.2566448,0.3185119,0.3848995,3.87E-09,1.006339,1.061116,5000,4999.998,0.878931,4359.533,6090.993,0.000423426,3.63E-11,1001.83,1092.406,1097.093,5213.149,0.878931
1054,1001.83,1090.801,1097.09,1030.257,1092.956,1097.089,0.3142711,0.3208409,0.3509992,0.02785068,0.03610153,0.04695345,4.34E-05,4.56E-05,4.59E-05,2.49E-05,2.98E-05,3.33E-05,0.000123517,0.000142018,0.000143406,0.000708681,0.00083412,0.000939923,0.07045935,0.07531374,0.07575059,0.2566448,0.318512,0.3848996,3.87E-09,1.006339,1.061116,5000,4999.998,0.878931,4359.532,6090.995,0.000408558,5.43E-11,1001.83,1092.406,1097.093,5213.15,0.878931
1055,1001.83,1090.801,1097.09,1030.257,1092.956,1097.089,0.3142713,0.3208408,0.3509991,0.02785067,0.03610153,0.04695345,4.34E-05,4.56E-05,4.59E-05,2.49E-05,2.98E-05,3.33E-05,0.000123517,0.000142018,0.000143406,0.000708682,0.00083412,0.000939923,0.07045937,0.07531374,0.07575059,0.2566449,0.318512,0.3848996,3.87E-09,1.006339,1.061116,5000,4999.999,0.878931,4359.533,6090.993,0.000442972,5.00E-11,1001.83,1092.406,1097.093,5213.15,0.878931
1056,1001.83,1090.801,1097.09,1030.257,1092.956,1097.089,0.3142711,0.3208409,0.3509992,0.02785067,0.03610153,0.04695345,4.34E-05,4.56E-05,4.59E-05,2.49E-05,2.98E-05,3.33E-05,0.000123517,0.000142018,0.000143406,0.000708681,0.00083412,0.000939923,0.07045936,0.07531373,0.07575059,0.2566448,0.318512,0.3848996,3.87E-09,1.00634,1.061116,5000,4999.999,0.878931,4359.533,6090.992,0.000456001,9.24E-11,1001.83,1092.406,1097.093,5213.15,0.878931
1057,1001.83,1090.801,1097.09,1030.257,1092.956,1097.089,0.3142713,0.3208408,0.3509992,0.02785067,0.03610153,0.04695345,4.34E-05,4.56E-05,4.59E-05,2.49E-05,2.98E-05,3.33E-05,0.000123517,0.000142018,0.000143406,0.000708682,0.00083412,0.000939923,0.07045936,0.07531374,0.07575059,0.2566448,0.318512,0.3848996,3.87E-09,1.006339,1.061116,5000,5000,0.878931,4359.534,6090.993,0.00045042,8.01E-11,1001.829,1092.406,1097.093,5213.151,0.878931
1058,1001.829,1090.801,1097.09,1030.257,1092.956,1097.089,0.314271,0.3208409,0.3509993,0.02785067,0.03610153,0.04695345,4.34E-05,4.56E-05,4.59E-05,2.49E-05,2.98E-05,3.33E-05,0.000123517,0.000142018,0.000143406,0.000708682,0.00083412,0.000939923,0.07045935,0.07531373,0.07575059,0.2566449,0.318512,0.3848997,3.87E-09,1.00634,1.061116,5000,5000,0.878931,4359.533,6090.991,0.000449778,8.61E-11,1001.83,1092.406,1097.093,5213.152,0.878931
1059,1001.83,1090.801,1097.09,1030.257,1092.956,1097.089,0.3142713,0.3208408,0.3509991,0.02785066,0.03610152,0.04695344,4.34E-05,4.56E-05,4.59E-05,2.49E-05,2.98E-05,3.33E-05,0.000123517,0.000142018,0.000143406,0.000708682,0.00083412,0.000939923,0.07045937,0.07531375,0.07575059,0.2566449,0.318512,0.3848997,3.87E-09,1.006339,1.061116,5000,5000.001,0.878931,4359.535,6090.992,0.000449435,7.74E-11,1001.83,1092.406,1097.093,5213.152,0.878931
1060,1001.83,1090.801,1097.09,1030.257,1092.956,1097.089,0.314271,0.3208409,0.3509991,0.02785066,0.03610152,0.04695345,4.34E-05,4.56E-05,4.59E-05,2.49E-05,2.98E-05,3.33E-05,0.000123517,0.000142018,0.000143406,0.000708682,0.00083412,0.000939923,0.07045937,0.07531374,0.07575059,0.2566449,0.318512,0.3848997,3.87E-09,1.006339,1.061116,5000,5000.001,0.878931,4359.534,6090.993,0.000438806,6.45E-11,1001.83,1092.406,1097.093,5213.152,0.878931
1061,1001.83,1090.801,1097.09,1030.257,1092.956,1097.089,0.3142713,0.3208408,0.3509991,0.02785066,0.03610153,0.04695346,4.34E-05,4.56E-05,4.59E-05,2.49E-05,2.98E-05,3.33E-05,0.000123517,0.000142018,0.000143406,0.000708681,0.00083412,0.000939923,0.07045937,0.07531375,0.0757506,0.2566448,0.318512,0.3848997,3.87E-09,1.006339,1.061116,5000,5000.001,0.878931,4359.534,6090.993,0.000399243,9.37E-11,1001.829,1092.406,1097.093,5213.152,0.878931
1062,1001.829,1090.801,1097.09,1030.257,1092.956,1097.089,0.314271,0.3208409,0.3509993,0.02785066,0.03610153,0.04695347,4.34E-05,4.56E-05,4.59E-05,2.49E-05,2.98E-05,3.33E-05,0.000123517,0.000142018,0.000143406,0.000708681,0.00083412,0.000939923,0.07045934,0.07531374,0.07575059,0.2566448,0.318512,0.3848997,3.87E-09,1.006339,1.061116,5000,5000,0.878931,4359.533,6090.991,0.000414591,9.81E-11,1001.83,1092.406,1097.093,5213.151,0.878931
1063,1001.83,1090.801,1097.09,1030.257,1092.956,1097.089,0.3142712,0.3208409,0.3509991,0.02785067,0.03610153,0.04695345,4.34E-05,4.56E-05,4.59E-05,2.49E-05,2.98E-05,3.33E-05,0.000123517,0.000142018,0.000143406,0.000708682,0.00083412,0.000939923,0.07045937,0.07531374,0.07575059,0.2566448,0.318512,0.3848996,3.87E-09,1.006339,1.061116,5000,4999.999,0.878931,4359.533,6090.993,0.000446347,2.77E-11,1001.83,1092.406,1097.093,5213.151,0.878931
1064,1001.83,1090.801,1097.09,1030.257,1092.956,1097.089,0.3142711,0.3208409,0.3509992,0.02785067,0.03610153,0.04695345,4.34E-05,4.56E-05,4.59E-05,2.49E-05,2.98E-05,3.33E-05,0.000123517,0.000142018,0.000143406,0.000708682,0.00083412,0.000939923,0.07045936,0.07531374,0.07575059,0.2566449,0.318512,0.3848996,3.87E-09,1.006339,1.061116,5000,5000,0.878931,4359.533,6090.993,0.000422278,4.91E-11,1001.83,1092.406,1097.093,5213.151,0.878931
1065,1001.83,1090.801,1097.09,1030.257,1092.956,1097.089,0.3142713,0.3208408,0.3509991,0.02785067,0.03610153,0.04695343,4.34E-05,4.56E-05,4.59E-05,2.49E-05,2.98E-05,3.33E-05,0.000123517,0.000142018,0.000143406,0.000708682,0.00083412,0.000939923,0.07045937,0.07531374,0.07575059,0.2566449,0.318512,0.3848996,3.87E-09,1.006339,1.061116,5000,4999.999,0.878931,4359.533,6090.996,0.000399115,9.29E-11,1001.829,1092.406,1097.093,5213.15,0.878931
1066,1001.829,1090.801,1097.09,1030.257,1092.956,1097.089,0.3142711,0.3208409,0.3509993,0.02785068,0.03610153,0.04695343,4.34E-05,4.56E-05,4.59E-05,2.49E-05,2.98E-05,3.33E-05,0.000123517,0.000142018,0.000143406,0.000708682,0.00083412,0.000939922,0.07045934,0.07531373,0.07575059,0.2566449,0.318512,0.3848996,3.87E-09,1.006339,1.061116,5000,4999.999,0.878931,4359.532,6090.994,0.000415273,6.36E-11,1001.83,1092.406,1097.093,5213.15,0.878931
1067,1001.83,1090.801,1097.09,1030.257,1092.956,1097.089,0.3142713,0.3208409,0.3509991,0.02785067,0.03610152,0.04695342,4.34E-05,4.56E-05,4.59E-05,2.49E-05,2.98E-05,3.33E-05,0.000123517,0.000142018,0.000143406,0.000708682,0.00083412,0.000939923,0.07045937,0.07531374,0.07575059,0.256645,0.318512,0.3848997,3.87E-09,1.006339,1.061116,5000,4999.998,0.878931,4359.533,6090.994,0.000422341,4.75E-11,1001.83,1092.406,1097.093,5213.149,0.878931
1068,1001.83,1090.801,1097.09,1030.257,1092.956,1097.089,0.314271,0.3208409,0.3509992,0.02785067,0.03610152,0.04695343,4.34E-05,4.56E-05,4.59E-05,2.49E-05,2.98E-05,3.33E-05,0.000123517,0.000142018,0.000143406,0.000708682,0.00083412,0.000939923,0.07045936,0.07531373,0.07575058,0.2566449,0.318512,0.3848996,3.87E-09,1.006339,1.061116,5000,4999.998,0.878931,4359.533,6090.995,0.000406112,9.52E-11,1001.83,1092.406,1097.093,5213.149,0.878931
1069,1001.83,1090.801,1097.09,1030.257,1092.956,1097.089,0.3142713,0.3208409,0.3509991,0.02785067,0.03610153,0.04695345,4.34E-05,4.56E-05,4.59E-05,2.49E-05,2.98E-05,3.33E-05,0.000123517,0.000142018,0.000143406,0.000708682,0.00083412,0.000939923,0.07045936,0.07531374,0.07575059,0.2566448,0.318512,0.3848996,3.87E-09,1.006339,1.061116,5000,4999.998,0.8789309,4359.533,6090.997,0.000386398,6.14E-11,1001.829,1092.406,1097.093,5213.149,0.8789309
1070,1001.829,1090.801,1097.09,1030.257,1092.956,1097.088,0.3142711,0.3208409,0.3509993,0.02785067,0.03610153,0.04695345,4.34E-05,4.56E-05,4.59E-05,2.49E-05,2.98E-05,3.33E-05,0.000123517,0.000142018,0.000143406,0.000708681,0.00083412,0.000939922,0.07045934,0.07531372,0.07575058,0.2566448,0.318512,0.3848996,3.87E-09,1.006339,1.061116,5000,4999.998,0.8789309,4359.532,6090.995,0.000416902,6.91E-11,1001.83,1092.406,1097.093,5213.149,0.8789309
1071,1001.83,1090.801,1097.09,1030.257,1092.956,1097.089,0.3142714,0.3208409,0.3509991,0.02785067,0.03610153,0.04695344,4.34E-05,4.56E-05,4.59E-05,2.49E-05,2.98E-05,3.33E-05,0.000123517,0.000142018,0.000143406,0.000708682,0.00083412,0.000939923,0.07045936,0.07531373,0.07575059,0.2566449,0.318512,0.3848996,3.87E-09,1.006339,1.061116,5000,4999.998,0.8789309,4359.533,6090.993,0.000487625,4.33E-11,1001.83,1092.406,1097.093,5213.149,0.8789309
1072,1001.83,1090.801,1097.09,1030.257,1092.956,1097.088,0.3142712,0.3208409,0.3509991,0.02785068,0.03610153,0.04695343,4.34E-05,4.56E-05,4.59E-05,2.49E-05,2.98E-05,3.33E-05,0.000123517,0.000142018,0.000143406,0.000708682,0.00083412,0.000939922,0.07045937,0.07531373,0.07575059,0.2566449,0.318512,0.3848996,3.87E-09,1.00634,1.061116,5000,4999.998,0.8789309,4359.533,6090.994,0.000482041,2.80E-11,1001.83,1092.406,1097.093,5213.149,0.8789309
1073,1001.83,1090.801,1097.09,1030.257,1092.956,1097.089,0.3142714,0.3208409,0.3509991,0.02785067,0.03610153,0.04695342,4.34E-05,4.56E-05,4.59E-05,2.49E-05,2.98E-05,3.33E-05,0.000123517,0.000142018,0.000143406,0.000708682,0.00083412,0.000939923,0.07045936,0.07531374,0.07575059,0.256645,0.318512,0.3848996,3.87E-09,1.006339,1.061116,5000,4999.999,0.8789309,4359.534,6090.993,0.000395009,1.70E-11,1001.83,1092.406,1097.093,5213.15,0.8789309
1074,1001.83,1090.801,1097.09,1030.257,1092.956,1097.089,0.3142711,0.3208409,0.3509992,0.02785067,0.03610152,0.04695341,4.34E-05,4.56E-05,4.59E-05,2.49E-05,2.98E-05,3.33E-05,0.000123517,0.000142018,0.000143406,0.000708682,0.00083412,0.000939923,0.07045935,0.07531373,0.07575059,0.256645,0.318512,0.3848996,3.87E-09,1.00634,1.061116,5000,5000,0.8789309,4359.534,6090.994,0.000418807,6.74E-11,1001.83,1092.406,1097.093,5213.15,0.8789309
1075,1001.83,1090.801,1097.09,1030.257,1092.956,1097.089,0.3142714,0.3208409,0.3509991,0.02785067,0.03610152,0.04695343,4.34E-05,4.56E-05,4.59E-05,2.49E-05,2.98E-05,3.33E-05,0.000123517,0.000142018,0.000143406,0.000708682,0.00083412,0.000939923,0.07045937,0.07531374,0.07575059,0.2566449,0.318512,0.3848997,3.87E-09,1.006339,1.061116,5000,5000,0.8789309,4359.534,6090.996,0.000443548,9.18E-11,1001.83,1092.406,1097.093,5213.15,0.8789309
1076,1001.83,1090.801,1097.09,1030.257,1092.956,1097.089,0.3142711,0.3208409,0.3509991,0.02785067,0.03610153,0.04695344,4.34E-05,4.56E-05,4.59E-05,2.49E-05,2.98E-05,3.33E-05,0.000123517,0.000142018,0.000143406,0.000708682,0.00083412,0.000939923,0.07045937,0.07531373,0.07575059,0.2566449,0.318512,0.3848997,3.87E-09,1.00634,1.061116,5000,5000,0.8789309,4359.534,6090.995,0.00042969,7.96E-11,1001.83,1092.406,1097.093,5213.151,0.8789309
1077,1001.83,1090.801,1097.09,1030.257,1092.956,1097.089,0.3142713,0.3208409,0.3509991,0.02785067,0.03610153,0.04695343,4.34E-05,4.56E-05,4.59E-05,2.49E-05,2.98E-05,3.33E-05,0.000123517,0.000142018,0.000143406,0.000708682,0.00083412,0.000939923,0.07045936,0.07531374,0.07575059,0.2566449,0.318512,0.3848997,3.87E-09,1.006339,1.061116,5000,5000,0.8789309,4359.535,6090.996,0.000423229,3.07E-11,1001.83,1092.406,1097.093,5213.151,0.8789309
1078,1001.83,1090.801,1097.09,1030.257,1092.956,1097.089,0.3142711,0.3208409,0.3509992,0.02785067,0.03610153,0.04695344,4.34E-05,4.56E-05,4.59E-05,2.49E-05,2.98E-05,3.33E-05,0.000123517,0.000142018,0.000143406,0.000708682,0.00083412,0.000939923,0.07045935,0.07531374,0.07575059,0.2566449,0.318512,0.3848996,3.87E-09,1.00634,1.061116,5000,5000.001,0.8789309,4359.534,6090.997,0.000446244,2.58E-11,1001.83,1092.406,1097.093,5213.152,0.8789309
1079,1001.83,1090.801,1097.09,1030.257,1092.956,1097.089,0.3142712,0.3208408,0.3509991,0.02785067,0.03610153,0.04695343,4.34E-05,4.56E-05,4.59E-05,2.49E-05,2.98E-05,3.33E-05,0.000123517,0.000142018,0.000143406,0.000708682,0.00083412,0.000939923,0.07045936,0.07531374,0.07575059,0.256645,0.318512,0.3848996,3.87E-09,1.006339,1.061116,5000,5000.001,0.8789309,4359.535,6090.996,0.000443172,9.31E-11,1001.83,1092.406,1097.093,5213.151,0.8789309
1080,1001.83,1090.801,1097.09,1030.257,1092.956,1097.089,0.3142711,0.3208409,0.3509991,0.02785067,0.03610153,0.04695342,4.34E-05,4.56E-05,4.59E-05,2.49E-05,2.98E-05,3.33E-05,0.000123517,0.000142018,0.000143406,0.000708682,0.00083412,0.000939923,0.07045936,0.07531374,0.07575059,0.256645,0.318512,0.3848996,3.87E-09,1.00634,1.061116,5000,5000.001,0.8789309,4359.534,6090.996,0.000399814,9.14E-11,1001.83,1092.406,1097.093,5213.152,0.8789309
